1,144587,27151
2,58847,130126
3,32006,58843
4,24135,21864
5,32834,60100
6,17095,69630
7,55520,42870
8,24944,371679
9,61053,40675
10,26581,3157
11,34869,135897
12,26591,178134
13,103670,25452
14,62171,82076
15,4611,146462
16,22846,82707
17,8854,15409
18,123254,62870
19,16967,19029
20,43030,62465
21,2485,40498
22,1748,186686
23,18127,132236
24,38611,12111
25,23939,2804
26,19655,85711
27,35734,123739
28,36263,61736
29,8337,31568
30,50446,152488
31,22093,92673
32,26791,53436
33,1710,131167
34,10874,13151
35,79381,23848
36,27632,18763
37,60115,329174
38,7095,22891
39,11793,25276
40,31463,930
41,14027,62134
42,12221,63779
43,25772,113437
44,23764,52372
45,25848,226370
46,26966,1136
47,101975,33819
48,34868,17632
49,15645,83519
50,532,20611
51,26791,55069
52,10445,57195
53,12666,120915
54,38053,380571
55,65511,64206
56,15182,25849
57,36554,236017
58,40581,25471
59,19327,48032
60,53053,78911
61,48222,74068
62,2079,117392
63,30213,256976
64,107390,758
65,33898,17165
66,105354,62467
67,50625,55797
68,937,95486
69,51572,26823
70,22906,12843
71,3806,109479
72,16527,18954
73,52412,167567
74,7823,11504
75,30760,97181
76,38229,99440
77,43483,186048
78,4069,54512
79,40086,110009
80,81976,236438
81,545,27497
82,44702,73641
83,4243,139037
84,21764,30107
85,48053,57356
86,20653,12645
87,53231,165202
88,43518,96210
89,50404,1735
90,23720,29449
91,29511,55000
92,17811,72817
93,55391,9409
94,16815,44754
95,92468,104059
96,13489,22480
97,44225,44321
98,3438,34906
99,18519,267611
100,28584,86329
