1,505
2,57
3,61
4,60
5,61
6,62
7,68
8,63
9,59
10,74
11,69
12,60
13,55
14,57
15,58
16,57
17,60
18,71
19,70
20,65
21,65
22,66
23,68
24,66
25,62
26,63
27,60
28,65
29,57
30,81
31,62
32,71
33,64
34,57
35,71
36,64
37,75
38,69
39,69
40,67
41,58
42,59
43,65
44,61
45,57
46,75
47,65
48,66
49,64
50,67
51,100
52,62
53,63
54,65
55,61
56,71
57,64
58,58
59,62
60,75
61,60
62,60
63,60
64,59
65,62
66,60
67,67
68,107
69,80
70,63
71,67
72,59
73,61
74,68
75,68
76,75
77,65
78,59
79,58
80,86
81,67
82,72
83,71
84,81
85,68
86,68
87,79
88,62
89,76
90,58
91,58
92,95
93,67
94,80
95,72
96,69
97,59
98,58
99,63
100,73
