1,65
2,58
3,63
4,63
5,63
6,59
7,61
8,67
9,63
10,62
11,64
12,66
13,76
14,63
15,71
16,59
17,68
18,59
19,58
20,64
21,61
22,69
23,65
24,66
25,56
26,59
27,62
28,55
29,55
30,63
31,57
32,74
33,60
34,55
35,63
36,64
37,64
38,61
39,61
40,62
41,61
42,61
43,64
44,64
45,77
46,72
47,61
48,69
49,69
50,73
51,63
52,64
53,66
54,62
55,67
56,59
57,60
58,62
59,65
60,57
61,64
62,61
63,57
64,73
65,60
66,64
67,119
68,91
69,63
70,59
71,59
72,64
73,67
74,60
75,63
76,59
77,99
78,61
79,56
80,61
81,65
82,63
83,64
84,62
85,65
86,57
87,64
88,57
89,60
90,56
91,61
92,67
93,78
94,62
95,66
96,57
97,67
98,68
99,62
100,60
