1,167205,336263
2,305282,15443
3,22408,163532
4,2841,63392
5,26817,175094
6,114285,72981
7,84034,219160
8,234715,167776
9,32764,219026
10,126230,470312
11,19542,76801
12,81816,386615
13,213992,929419
14,34577,14148
15,763,316013
16,12501,702124
17,10102,231607
18,25668,520330
19,7453,41100
20,83281,293345
21,123769,214910
22,133622,589914
23,121950,250150
24,11711,258231
25,116972,710286
26,71999,133034
27,26544,32725
28,64826,187072
29,36735,485905
30,2359,241572
31,160888,240293
32,32424,56529
33,16114,87319
34,146153,548937
35,17089,268610
36,55028,40985
37,33818,134859
38,410507,780878
39,149128,171205
40,356523,750471
41,36248,399357
42,182681,238498
43,166261,87184
44,2753,243319
45,127621,110572
46,361458,104809
47,30595,268786
48,6410,286843
49,3144,684748
50,20534,135237
51,276916,22410
52,108071,157044
53,2952,104410
54,71900,625666
55,127447,45407
56,27819,109380
57,99017,428002
58,79283,121894
59,146748,142486
60,267260,286318
61,74863,565065
62,277953,122112
63,451,168395
64,217308,95844
65,22786,402128
66,7103,415512
67,5933,6484
68,331492,722749
69,154777,108498
70,32900,300478
71,349204,440377
72,56753,548851
73,225520,163543
74,13066,267425
75,77484,213030
76,65178,340119
77,114274,153310
78,50541,31736
79,1471,230871
80,2471,639866
81,173935,187936
82,55684,8842
83,139301,90313
84,37903,766008
85,19477,99100
86,263971,162684
87,22105,387226
88,100542,238277
89,212128,56058
90,101134,568398
91,1538,36874
92,62066,7843
93,200045,254686
94,34499,409967
95,34827,550569
96,145508,81439
97,142560,89612
98,16241,70759
99,29101,27049
100,171871,580140
