1,49
2,48
3,48
4,48
5,53
6,50
7,84
8,79
9,87
10,51
11,49
12,48
13,49
14,49
15,49
16,49
17,48
18,49
19,49
20,51
21,51
22,49
23,49
24,49
25,49
26,51
27,55
28,49
29,49
30,51
31,49
32,49
33,59
34,65
35,51
36,51
37,49
38,49
39,49
40,51
41,49
42,49
43,49
44,48
45,49
46,50
47,50
48,49
49,50
50,49
51,54
52,55
53,49
54,112
55,49
56,48
57,49
58,49
59,49
60,51
61,48
62,47
63,49
64,49
65,48
66,48
67,52
68,50
69,49
70,51
71,49
72,49
73,111
74,52
75,53
76,51
77,48
78,52
79,51
80,49
81,49
82,48
83,51
84,48
85,50
86,62
87,49
88,48
89,49
90,48
91,59
92,54
93,91
94,53
95,65
96,64
97,52
98,49
99,49
100,48
