1,50,92
2,50,86
3,70,86
4,50,87
5,51,84
6,50,81
7,52,83
8,49,83
9,49,82
10,50,82
11,69,86
12,81,83
13,107,82
14,49,83
15,49,88
16,49,95
17,50,81
18,50,85
19,49,84
20,52,85
21,51,83
22,50,94
23,50,87
24,49,81
25,50,83
26,49,83
27,49,87
28,50,85
29,51,81
30,49,84
31,50,83
32,55,83
33,50,84
34,68,125
35,51,104
36,49,101
37,58,102
38,50,103
39,50,99
40,49,101
41,50,107
42,56,110
43,49,103
44,49,92
45,49,93
46,49,83
47,49,84
48,134,84
49,80,91
50,104,93
51,50,82
52,51,86
53,49,87
54,51,87
55,49,81
56,53,85
57,49,83
58,52,81
59,79,81
60,50,83
61,50,82
62,75,82
63,51,83
64,50,88
65,51,82
66,59,85
67,50,80
68,48,87
69,50,82
70,52,81
71,50,86
72,49,81
73,50,81
74,49,92
75,50,98
76,50,81
77,51,82
78,50,81
79,51,95
80,49,83
81,52,86
82,49,84
83,49,83
84,49,83
85,50,87
86,50,88
87,50,83
88,49,83
89,49,87
90,50,84
91,50,90
92,51,83
93,50,83
94,49,82
95,50,90
96,49,83
97,49,81
98,49,97
99,48,82
100,49,84
